Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-02-15,25,30,0,39,3,22,3968,0,0,0,0%,0,0,0,0%,39,30,0,0,0,0,0,0,39,0.31s,73%,1.3,00:02:12,00:02:00,1.4,71%,17,23,15,0,3,0,0,0,0%
2017-02-16,18,19,0,22,3,17,1496,0,0,0,0%,0,0,0,0%,20,19,0,0,2,1,0,0,20,0.17s,89%,1.2,00:01:19,00:02:03,1.1,92%,12,13,11,0,2,0,0,0,0%
2017-02-17,10,11,0,14,2,8,323,0,0,0,0%,0,0,0,0%,14,11,0,0,0,0,0,0,14,0.82s,73%,1.3,00:00:29,00:00:38,1.3,71%,7,9,6,0,2,0,0,0,0%
2017-02-18,4,8,0,10,2,6,1084,0,0,0,0%,0,0,0,0%,10,8,0,0,0,0,0,0,10,0.19s,75%,1.3,00:02:16,00:03:01,1.3,67%,6,8,3,0,2,0,0,0,0%
2017-02-19,7,8,0,8,1,8,0,0,0,0,0%,0,0,0,0%,8,8,0,0,0,0,0,0,8,0.23s,100%,1,00:00:00,00:00:00,1,100%,3,3,3,0,1,0,0,0,0%
2017-02-20,9,9,0,18,9,7,1411,0,0,0,0%,0,0,0,0%,18,9,0,0,0,0,0,0,18,0.38s,78%,2,00:02:37,00:00:00,1,100%,5,5,5,0,1,0,0,0,0%
2017-02-21,14,14,0,18,2,10,201,0,0,0,0%,0,0,0,0%,18,14,0,0,0,0,0,0,18,0.16s,71%,1.3,00:00:14,00:00:12,1.3,71%,7,9,7,0,2,0,0,0,0%
2017-02-22,14,17,0,21,3,14,773,0,0,0,0%,0,0,0,0%,21,17,0,0,0,0,0,0,21,0.23s,82%,1.2,00:00:45,00:00:50,1.2,78%,9,11,7,0,2,0,0,0,0%
2017-02-23,15,15,0,21,3,10,1247,0,0,0,0%,0,0,0,0%,21,15,0,0,0,0,0,0,19,0.14s,67%,1.4,00:01:23,00:02:35,1.4,80%,5,7,5,0,3,0,0,0,0%
2017-02-24,7,8,0,9,2,7,40,0,0,0,0%,0,0,0,0%,9,8,0,0,0,0,0,0,7,0.16s,88%,1.1,00:00:05,00:00:00,1,100%,4,4,3,0,1,0,0,0,0%
