Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-06-24,1,2,0,5,3,0,14,2,5,1,0,3,0%,2.5,00:00:07,0,0,0,0%,,,,,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.17s,0%,2.5,00:00:07
2016-06-27,2,2,0,3,2,1,19,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.2s,50%,1.5,00:00:10
2016-06-28,1,1,0,4,4,0,9,1,4,1,0,4,0%,4,00:00:09,0,0,0,0%,,,,,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.15s,0%,4,00:00:09
2016-06-29,3,3,0,17,9,1,510,3,17,3,0,9,33%,5.7,00:02:50,0,0,0,0%,,,,,0,0,0,0%,17,11,0,0,0,0,0,0,17,0.1s,33%,5.7,00:02:50
2016-07-01,2,2,0,2,1,2,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,2,2,0,0,0,0,0,0,2,4.16s,100%,1,00:00:00
2016-07-02,1,1,0,3,3,0,19,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,2,2,0,0,1,1,0,0,2,0.2s,0%,3,00:00:19
2016-07-06,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.16s,100%,1,00:00:00
2016-07-07,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.15s,100%,1,00:00:00
2016-07-08,2,2,0,26,17,0,204,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,21,8,0,0,5,4,0,0,19,0.15s,0%,13,00:01:42
2016-07-11,2,4,0,7,4,3,31,3,6,1,0,4,67%,2,00:00:10,0,0,0,0%,0,0,0,0%,0,0,0,0%,7,7,0,0,0,0,0,0,7,0.08s,75%,1.8,00:00:08
2016-07-12,2,2,0,7,4,0,999,2,7,2,0,4,0%,3.5,00:08:20,0,0,0,0%,,,,,0,0,0,0%,7,7,0,0,0,0,0,0,7,0.25s,0%,3.5,00:08:20
2016-07-13,6,8,0,26,13,4,992,6,24,4,0,13,33%,4,00:02:45,0,0,0,0%,0,0,0,0%,0,0,0,0%,26,15,0,0,0,0,0,0,26,0.15s,50%,3.3,00:02:04
