Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-27,362,398,0,974,77,269,49596,104,295,82,0,39,67%,2.8,00:02:52,0,0,0,0%,0,0,0,0%,0,0,0,0%,902,688,3,3,69,64,0,0,859,0.66s,68%,2.4,00:02:05
2016-01-28,275,308,0,786,23,201,38684,88,230,67,0,23,67%,2.6,00:02:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,717,576,2,2,67,62,0,0,682,0.65s,65%,2.6,00:02:06
2016-01-29,302,330,0,741,25,217,29406,100,223,81,0,19,60%,2.2,00:02:03,0,0,0,0%,0,0,0,0%,0,0,0,0%,688,553,2,2,51,48,0,0,651,0.64s,66%,2.2,00:01:29
2016-01-30,171,197,0,454,26,131,23342,63,161,46,0,26,62%,2.6,00:03:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,421,326,2,2,31,30,0,0,367,0.69s,66%,2.3,00:01:58
2016-01-31,192,206,0,502,23,127,22634,38,77,29,0,16,74%,2,00:02:15,0,0,0,0%,0,0,0,0%,0,0,0,0%,473,384,1,1,28,28,0,0,413,0.62s,62%,2.4,00:01:50
2016-02-01,692,757,0,1821,63,458,61901,148,360,110,0,28,67%,2.4,00:02:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,1633,1371,2,2,186,173,0,0,1535,0.62s,61%,2.4,00:01:22
2016-02-02,498,558,0,1327,29,344,52008,134,306,107,0,29,69%,2.3,00:01:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,1195,997,2,1,130,123,0,0,1116,0.67s,62%,2.4,00:01:33
2016-02-03,312,349,0,818,29,224,29790,139,374,107,0,29,65%,2.7,00:02:18,0,0,0,0%,0,0,0,0%,0,0,0,0%,753,602,0,0,65,61,0,0,704,0.6s,64%,2.3,00:01:25
2016-02-04,326,372,0,739,27,266,30613,137,242,108,0,14,74%,1.8,00:01:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,690,574,1,1,48,46,0,0,643,0.6s,72%,2,00:01:22
2016-02-05,278,303,0,715,50,199,36170,91,181,72,0,8,68%,2,00:01:50,0,0,0,0%,0,0,0,0%,0,0,0,0%,656,542,0,0,59,56,0,0,606,0.77s,66%,2.4,00:01:59
2016-02-06,185,197,0,436,23,133,23765,52,111,48,0,10,60%,2.1,00:01:42,0,0,0,0%,0,0,0,0%,0,0,0,0%,403,331,1,1,32,30,0,0,368,0.75s,68%,2.2,00:02:01
2016-02-07,142,163,0,328,32,119,12728,56,114,44,0,11,70%,2,00:01:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,314,254,2,2,12,12,0,0,292,0.6s,73%,2,00:01:18
2016-02-08,227,254,0,683,48,152,30291,94,264,72,0,48,59%,2.8,00:01:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,624,466,9,8,50,43,0,0,576,0.58s,60%,2.7,00:01:59
