Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-08-27,21,24,0,85,34,14,6501,0,0,0,0%,0,0,0,0%,78,45,1,1,6,6,0,0,77,0.22s,58%,3.5,00:04:31,00:06:17,4.8,45%,11,53,9,0,34,0,0,0,0%
2017-08-28,42,52,0,174,17,17,15459,0,0,0,0%,0,0,0,0%,151,113,1,1,22,16,0,0,150,0.24s,33%,3.3,00:04:57,00:04:41,2.8,42%,26,73,22,0,9,0,0,0,0%
2017-08-29,48,57,0,104,8,31,5574,0,0,0,0%,0,0,0,0%,93,78,2,1,9,8,0,0,93,0.55s,54%,1.8,00:01:38,00:01:43,1.6,57%,35,57,29,0,4,0,0,0,0%
2017-08-30,34,46,0,119,9,21,6215,0,0,0,0%,0,0,0,0%,106,88,1,1,12,10,0,0,104,0.21s,46%,2.6,00:02:15,00:01:35,2.5,52%,29,72,19,0,9,0,0,0,0%
2017-08-31,29,35,0,82,10,14,2207,0,0,0,0%,0,0,0,0%,70,54,0,0,12,9,0,0,63,0.3s,40%,2.3,00:01:03,00:00:25,1.5,53%,17,26,15,0,3,0,0,0,0%
2017-09-01,36,42,0,126,24,19,7844,0,0,0,0%,0,0,0,0%,116,78,1,1,9,9,0,0,116,0.23s,45%,3,00:03:07,00:03:01,3.1,41%,27,85,21,0,24,0,0,0,0%
2017-09-02,6,7,0,14,4,3,835,0,0,0,0%,0,0,0,0%,14,12,0,0,0,0,0,0,14,0.2s,43%,2,00:01:59,00:02:47,2.4,20%,5,12,4,0,4,0,0,0,0%
2017-09-03,13,19,0,85,33,7,4551,0,0,0,0%,0,0,0,0%,78,44,0,0,7,6,0,0,78,0.11s,37%,4.5,00:04:00,00:02:21,4.6,38%,13,60,7,0,33,0,0,0,0%
2017-09-04,13,14,0,35,10,5,966,0,0,0,0%,0,0,0,0%,29,22,0,0,6,5,0,0,29,0.15s,36%,2.5,00:01:09,00:01:18,2,33%,9,18,9,0,4,0,0,0,0%
2017-09-05,52,70,0,180,14,35,13369,0,0,0,0%,0,0,0,0%,163,128,0,0,17,17,0,0,143,0.19s,50%,2.6,00:03:11,00:04:04,2.2,50%,40,86,28,0,7,0,0,0,0%
