Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-27,28,36,0,110,21,19,3862,16,45,9,0,7,31%,2.8,00:01:12,0,0,0,0%,0,0,0,0%,0,0,0,0%,97,82,4,2,9,6,0,0,80,0.67s,53%,3.1,00:01:47
2016-01-28,43,48,0,139,14,23,12126,7,26,3,0,14,29%,3.7,00:08:47,0,0,0,0%,0,0,0,0%,0,0,0,0%,130,112,6,6,3,3,0,0,113,0.51s,48%,2.9,00:04:13
2016-01-29,48,51,0,121,13,26,8388,8,16,6,0,7,63%,2,00:00:33,0,0,0,0%,0,0,0,0%,0,0,0,0%,115,100,1,1,5,5,0,0,113,0.46s,51%,2.4,00:02:44
2016-01-30,10,15,0,88,25,8,1308,7,61,5,0,25,43%,8.7,00:02:08,0,0,0,0%,0,0,0,0%,0,0,0,0%,85,56,0,0,3,3,0,0,85,0.19s,53%,5.9,00:01:27
2016-01-31,16,18,0,35,8,12,4486,4,9,2,0,6,75%,2.3,00:02:50,0,0,0,0%,0,0,0,0%,0,0,0,0%,28,26,3,2,4,4,0,0,26,1.13s,67%,1.9,00:04:09
2016-02-01,19,23,0,109,29,11,7002,12,57,8,0,18,33%,4.8,00:07:33,0,0,0,0%,0,0,0,0%,0,0,0,0%,93,57,9,8,7,7,0,0,90,0.32s,48%,4.7,00:05:04
2016-02-02,27,37,0,155,24,18,15241,15,89,8,0,22,33%,5.9,00:15:26,0,0,0,0%,0,0,0,0%,0,0,0,0%,136,97,5,5,14,10,0,0,127,0.3s,49%,4.2,00:06:52
2016-02-03,23,26,0,71,15,12,4664,9,22,7,0,4,22%,2.4,00:01:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,61,50,5,5,5,5,0,0,58,0.41s,46%,2.7,00:02:59
2016-02-04,20,31,0,116,17,15,10212,14,46,9,0,7,36%,3.3,00:06:58,0,0,0,0%,0,0,0,0%,0,0,0,0%,102,78,7,7,7,7,0,0,88,0.56s,48%,3.7,00:05:29
2016-02-05,10,11,0,39,16,7,591,5,6,5,0,2,80%,1.2,00:00:03,0,0,0,0%,0,0,0,0%,0,0,0,0%,38,27,0,0,1,1,0,0,38,0.33s,64%,3.5,00:00:54
2016-02-06,11,11,0,15,4,9,172,4,7,4,0,4,75%,1.8,00:00:39,0,0,0,0%,0,0,0,0%,0,0,0,0%,15,14,0,0,0,0,0,0,12,0.5s,82%,1.4,00:00:16
2016-02-07,12,16,0,58,13,6,5756,5,17,3,0,8,40%,3.4,00:02:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,45,31,8,7,5,5,0,0,39,0.43s,38%,3.6,00:06:00
