Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-26,431,494,0,1135,38,321,69139,139,298,104,0,9,62%,2.1,00:03:18,0,0,0,0%,0,0,0,0%,0,0,0,0%,1073,910,19,17,40,36,3,3,968,0.53s,65%,2.3,00:02:20
2016-01-27,464,537,0,1396,35,360,104507,161,458,115,0,35,62%,2.8,00:04:21,0,0,0,0%,0,0,0,0%,0,0,0,0%,1308,1059,12,12,69,62,7,5,1186,0.62s,67%,2.6,00:03:15
2016-01-28,414,481,0,1123,38,320,91054,163,427,122,0,38,66%,2.6,00:04:17,0,0,0,0%,0,0,0,0%,0,0,0,0%,1077,875,13,11,33,32,0,0,1025,0.48s,67%,2.3,00:03:09
2016-01-29,368,432,0,935,25,292,73116,156,333,114,0,25,67%,2.1,00:03:42,0,0,0,0%,0,0,0,0%,0,0,0,0%,883,712,4,4,47,46,1,1,846,0.45s,68%,2.2,00:02:49
2016-01-30,238,284,0,725,29,182,50584,93,247,68,0,18,62%,2.7,00:04:45,0,0,0,0%,0,0,0,0%,0,0,0,0%,689,558,4,4,31,29,1,1,625,0.57s,64%,2.6,00:02:58
2016-01-31,300,339,0,752,26,234,53306,101,232,81,0,20,65%,2.3,00:03:33,0,0,0,0%,0,0,0,0%,0,0,0,0%,702,574,19,15,31,29,0,0,632,0.5s,69%,2.2,00:02:37
2016-02-01,450,498,0,1188,30,328,77011,131,345,107,0,30,62%,2.6,00:03:15,0,0,0,0%,0,0,0,0%,0,0,0,0%,1128,946,17,16,37,35,6,4,1052,0.55s,66%,2.4,00:02:35
2016-02-02,494,565,0,1524,45,344,115738,157,500,121,0,45,54%,3.2,00:03:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,1424,1114,16,16,80,70,4,3,1322,0.56s,61%,2.7,00:03:25
2016-02-03,432,513,0,1364,36,310,102267,156,517,114,0,36,57%,3.3,00:05:21,0,0,0,0%,0,0,0,0%,0,0,0,0%,1291,1026,9,9,53,51,11,7,1201,0.47s,60%,2.7,00:03:19
2016-02-04,411,458,0,1167,100,299,65646,127,420,100,0,100,61%,3.3,00:03:16,0,0,0,0%,0,0,0,0%,0,0,0,0%,1087,848,20,18,54,47,6,4,955,0.44s,65%,2.5,00:02:23
2016-02-05,375,431,0,1132,46,287,78641,123,363,91,0,46,66%,3,00:04:40,0,0,0,0%,0,0,0,0%,0,0,0,0%,1078,863,7,7,47,41,0,0,1003,0.43s,67%,2.6,00:03:02
2016-02-06,273,311,0,746,57,200,51730,77,165,54,0,12,64%,2.1,00:04:33,0,0,0,0%,0,0,0,0%,0,0,0,0%,693,540,7,7,45,37,1,1,619,0.32s,64%,2.4,00:02:46
2016-02-07,258,297,0,852,57,192,55629,84,391,60,0,57,56%,4.7,00:07:12,0,0,0,0%,0,0,0,0%,0,0,0,0%,799,607,9,9,42,33,2,2,709,0.44s,65%,2.9,00:03:07
2016-02-08,420,503,0,1496,101,310,118043,177,703,127,0,101,57%,4,00:06:18,0,0,0,0%,0,0,0,0%,0,0,0,0%,1418,1022,13,12,64,59,1,1,1315,0.73s,62%,3,00:03:55
2016-02-09,465,538,0,1449,33,333,111081,166,574,130,0,33,55%,3.5,00:04:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,1358,1054,12,12,78,69,1,1,1243,0.4s,62%,2.7,00:03:26
2016-02-10,425,477,0,1245,98,313,80474,148,327,119,0,24,69%,2.2,00:02:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,1178,899,11,11,55,48,1,1,1078,0.39s,66%,2.6,00:02:49
2016-02-11,433,488,0,1231,82,326,83097,141,351,111,0,26,60%,2.5,00:03:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,1168,965,15,15,45,42,3,2,1093,0.43s,67%,2.5,00:02:50
2016-02-12,393,446,0,1143,36,291,88095,128,376,99,0,36,64%,2.9,00:04:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,1059,846,11,11,71,56,2,1,974,0.44s,65%,2.6,00:03:18
2016-02-13,278,310,0,940,100,183,73581,88,234,75,0,36,64%,2.7,00:03:56,0,0,0,0%,0,0,0,0%,0,0,0,0%,882,626,12,10,44,35,2,2,820,0.4s,59%,3,00:03:57
2016-02-14,270,315,0,733,42,211,48166,98,278,72,0,42,67%,2.8,00:03:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,696,561,14,12,21,21,2,1,661,0.63s,67%,2.3,00:02:33
