Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2018-10-01,17,20,0,39,12,15,4913,9,21,6,0,12,78%,2.3,00:08:56,0,0,0,0%,0,0,0,0%,0,0,0,0%,39,27,0,0,0,0,0,0,38,0.31s,75%,2,00:04:06
2018-10-02,14,17,0,28,5,11,2694,10,18,7,0,5,70%,1.8,00:04:20,0,0,0,0%,0,0,0,0%,0,0,0,0%,27,19,0,0,1,1,0,0,26,0.26s,65%,1.6,00:02:38
2018-10-03,12,12,0,16,3,9,1077,7,10,7,0,3,71%,1.4,00:02:25,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,13,0,0,0,0,0,0,16,26.96s,75%,1.3,00:01:30
2018-10-04,12,12,0,17,3,9,894,8,11,8,0,3,75%,1.4,00:01:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,17,15,0,0,0,0,0,0,17,0.35s,75%,1.4,00:01:15
2018-10-05,9,9,0,9,1,9,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,9,9,0,0,0,0,0,0,9,0.13s,100%,1,00:00:00
2018-10-06,16,16,0,16,1,16,0,3,3,3,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,16,0,0,0,0,0,0,16,0.27s,100%,1,00:00:00
2018-10-07,7,8,0,15,7,6,164,3,4,3,0,2,67%,1.3,00:00:17,0,0,0,0%,0,0,0,0%,0,0,0,0%,15,9,0,0,0,0,0,0,15,0.33s,75%,1.9,00:00:21
2018-10-08,11,12,0,16,3,9,792,5,8,4,0,3,60%,1.6,00:02:16,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,13,0,0,0,0,0,0,15,0.2s,75%,1.3,00:01:06
2018-10-09,10,14,0,21,3,9,2390,8,11,6,0,3,75%,1.4,00:04:06,0,0,0,0%,0,0,0,0%,0,0,0,0%,19,17,0,0,2,2,0,0,19,0.13s,64%,1.5,00:02:51
2018-10-10,9,10,0,13,2,7,177,7,9,6,0,2,71%,1.3,00:00:08,0,0,0,0%,0,0,0,0%,0,0,0,0%,13,12,0,0,0,0,0,0,13,0.16s,70%,1.3,00:00:18
2018-10-11,8,8,0,11,3,6,149,4,5,4,0,2,75%,1.3,00:00:04,0,0,0,0%,0,0,0,0%,0,0,0,0%,11,11,0,0,0,0,0,0,11,0.35s,75%,1.4,00:00:19
2018-10-12,11,12,0,13,2,11,23,5,5,4,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,13,13,0,0,0,0,0,0,13,0.12s,92%,1.1,00:00:02
2018-10-13,4,4,0,4,1,4,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.18s,100%,1,00:00:00
2018-10-14,3,3,0,3,1,3,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.09s,100%,1,00:00:00
2018-10-15,8,8,0,14,5,5,691,7,9,7,0,2,71%,1.3,00:01:28,0,0,0,0%,0,0,0,0%,0,0,0,0%,14,9,0,0,0,0,0,0,14,0.27s,63%,1.8,00:01:26
2018-10-16,6,6,0,7,2,5,1203,3,4,3,0,2,67%,1.3,00:06:41,0,0,0,0%,0,0,0,0%,0,0,0,0%,7,6,0,0,0,0,0,0,7,0.36s,83%,1.2,00:03:21
2018-10-17,6,6,0,9,2,3,643,5,8,5,0,2,40%,1.6,00:02:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,9,6,0,0,0,0,0,0,9,0.16s,50%,1.5,00:01:47
2018-10-18,3,4,0,5,2,3,42,2,2,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.14s,75%,1.3,00:00:11
2018-10-19,6,7,0,16,6,3,5249,3,6,3,0,3,33%,2,00:05:26,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,9,0,0,0,0,0,0,16,0.15s,43%,2.3,00:12:30
2018-10-20,2,3,0,3,1,3,0,3,3,2,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.06s,100%,1,00:00:00
2018-10-21,6,6,0,6,1,6,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,5,2.33s,100%,1,00:00:00
2018-10-22,3,5,0,5,1,5,0,3,3,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.24s,100%,1,00:00:00
2018-10-23,2,2,0,2,1,2,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,1,0.01s,100%,1,00:00:00
2018-10-24,4,4,0,4,1,4,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.34s,100%,1,00:00:00
2018-10-25,3,3,0,3,1,3,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.7s,100%,1,00:00:00
2018-10-26,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.02s,100%,1,00:00:00
2018-10-27,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.28s,100%,1,00:00:00
2018-10-28,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.16s,100%,1,00:00:00
2018-10-29,2,2,0,2,1,2,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.34s,100%,1,00:00:00
2018-10-30,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.02s,100%,1,00:00:00
2018-10-31,1,1,0,2,2,0,1796,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,2,2,0,0,0,0,0,0,2,0.61s,0%,2,00:29:56
2018-11-01,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.02s,100%,1,00:00:00
2018-11-02,4,4,0,4,1,4,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.26s,100%,1,00:00:00
2018-11-03,3,4,0,4,1,4,0,2,2,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.11s,100%,1,00:00:00
2018-11-04,3,3,0,3,1,3,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.22s,100%,1,00:00:00
2018-11-05,5,5,0,5,1,5,0,3,3,3,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.1s,100%,1,00:00:00
2018-11-06,2,2,0,3,2,1,6,1,2,1,0,2,0%,2,00:00:06,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.11s,50%,1.5,00:00:03
2018-11-07,3,3,0,3,1,3,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.09s,100%,1,00:00:00
