Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2017-09-27,75,102,0,805,78,34,49956,49,422,30,0,78,41%,8.6,00:08:52,0,0,0,0%,0,0,0,0%,0,0,0,0%,790,409,11,8,4,3,0,0,789,0.43s,33%,7.9,00:08:10
2017-09-28,67,100,0,633,78,52,31306,53,429,31,0,78,57%,8.1,00:04:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,626,315,4,4,3,3,0,0,624,0.83s,52%,6.3,00:05:13
2017-09-29,60,84,0,509,47,33,30878,35,199,26,0,31,43%,5.7,00:06:28,0,0,0,0%,0,0,0,0%,0,0,0,0%,502,302,4,4,3,3,0,0,499,0.59s,39%,6.1,00:06:08
2017-09-30,30,34,0,186,45,16,8520,11,26,8,0,10,55%,2.4,00:01:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,183,98,0,0,3,3,0,0,183,0.93s,47%,5.5,00:04:11
2017-10-01,29,54,0,390,43,27,23015,37,235,16,0,30,46%,6.4,00:05:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,386,205,1,1,3,2,0,0,386,0.3s,50%,7.2,00:07:06
2017-10-02,57,76,0,503,74,31,25019,34,272,19,0,74,50%,8,00:05:58,0,0,0,0%,0,0,0,0%,0,0,0,0%,493,246,7,6,3,3,0,0,488,0.95s,41%,6.6,00:05:29
2017-10-03,79,104,0,1027,91,27,58831,44,391,32,0,51,32%,8.9,00:09:37,0,0,0,0%,0,0,0,0%,0,0,0,0%,1021,490,0,0,6,5,0,0,1019,0.36s,26%,9.9,00:09:26
2017-10-04,67,92,0,939,124,33,50372,49,430,36,0,66,41%,8.8,00:08:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,924,377,6,6,9,9,0,0,922,0.5s,36%,10.2,00:09:08
2017-10-05,47,75,0,656,79,34,37411,42,449,25,0,79,43%,10.7,00:09:20,0,0,0,0%,0,0,0,0%,0,0,0,0%,635,277,8,6,13,13,0,0,630,2.07s,45%,8.7,00:08:19
2017-10-06,48,74,0,857,311,43,27123,38,645,21,0,311,61%,17,00:08:23,0,0,0,0%,0,0,0,0%,0,0,0,0%,855,294,1,1,1,1,0,0,853,0.31s,58%,11.6,00:06:07
2017-10-07,27,41,0,533,147,18,27530,25,285,14,0,147,60%,11.4,00:09:29,0,0,0,0%,0,0,0,0%,0,0,0,0%,525,201,6,6,2,2,0,0,498,0.32s,44%,13,00:11:11
2017-10-08,20,31,0,161,52,13,10852,19,106,9,0,52,47%,5.6,00:06:48,0,0,0,0%,0,0,0,0%,0,0,0,0%,161,98,0,0,0,0,0,0,161,0.52s,42%,5.2,00:05:50
2017-10-09,49,74,0,811,111,33,33088,44,457,21,0,111,52%,10.4,00:04:40,0,0,0,0%,0,0,0,0%,0,0,0,0%,807,284,0,0,4,4,0,0,806,0.47s,45%,11,00:07:27
2017-10-10,61,86,0,890,89,33,45523,44,456,28,0,57,48%,10.4,00:08:12,0,0,0,0%,0,0,0,0%,0,0,0,0%,879,395,10,9,1,1,0,0,875,0.42s,38%,10.3,00:08:49
2017-10-11,51,69,0,381,54,31,21211,37,290,23,0,54,49%,7.8,00:06:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,375,216,4,4,2,2,0,0,351,0.8s,45%,5.5,00:05:07
2017-10-12,66,77,0,1087,200,28,46555,28,187,25,0,34,46%,6.7,00:06:49,0,0,0,0%,0,0,0,0%,0,0,0,0%,1072,361,14,12,1,1,0,0,1069,0.47s,36%,14.1,00:10:05
2017-10-13,60,96,0,678,51,39,39339,50,340,27,0,51,44%,6.8,00:06:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,658,339,15,14,5,5,0,0,657,0.44s,41%,7.1,00:06:50
2017-10-14,24,30,0,245,62,11,10181,8,11,5,0,3,75%,1.4,00:02:33,0,0,0,0%,0,0,0,0%,0,0,0,0%,243,102,0,0,2,2,0,0,243,0.51s,37%,8.2,00:05:39
2017-10-15,25,29,0,170,24,15,7357,6,32,5,0,14,33%,5.3,00:02:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,164,100,5,5,1,1,0,0,164,0.3s,52%,5.9,00:04:14
2017-10-16,73,108,0,788,80,43,34996,58,390,36,0,80,45%,6.7,00:05:04,0,0,0,0%,0,0,0,0%,0,0,0,0%,777,430,7,7,4,4,0,0,775,0.82s,40%,7.3,00:05:24
